,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
10435,POLYQUATERNIUM-6,,,26062-79-3,"2-propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chlor-",Antistatic/film forming,,
10436,,,,,"ide, homopolymer",,,
10437,POLYQUATERNIUM-7,,,26590-05-6,"2-propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chlor-",Antistatic/film forming,,
10438,,,,,"ide, polymer with 2-propenamide",,,
10439,POLYQUATERNIUM-11,,,53633-54-8,"2-propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester,",Antistatic/film forming,,
10440,,,,,"polymer with 1-ethenyl-2-pyrrolidinone, compd. with",,,
10441,,,,,diethyl sulfate,,,
10442,POLYQUATERNIUM-12,,,68877-50-9,"2-propenoic acid, 2-methyl-,
[1,2,3,4,4a,4b,5,6,10,10a-dec-",Antistatic/film forming,,
10443,,,,,"ahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenyl]",,,
10444,,,,,"methyl ester [1r-(1alpha,4abeta,4balpha,10aalpha)]-, poly-",,,
10445,,,,,"mer with 2-(diethylamino)ethyl 2-methyl-2-propenoate,",,,
10446,,,,,"ethyl 2-methyl-2-propenoate, quaternised with dimethyl",,,
10447,,,,,sulfate,,,
10448,POLYQUATERNIUM-14,,,27103-90-8,"Ethanaminium, N,N,N-trimethyl-2-[(2-methyl-1-oxo-2-pro-",Antistatic/film forming,,
10449,,,,,"penyl)oxy]-, methylsulfate, homopolymer",,,
10450,POLYQUATERNIUM-35,,,,,Antistatic/film forming,,
10451,POLYQUATERNIUM-36,,,,,Antistatic/film forming,,
10452,POLYQUATERNIUM-37,,,26161-33-1,,Antistatic/film forming,,
10453,POLYQUATERNIUM-39,,,,,Antistatic/film forming,,
10454,POLYQUATERNIUM-42,,,,,Antistatic/film forming,,
10455,POLYQUATERNIUM-45,,,221225-18-9,"Glycine, N-methyl-N-[2-[(2-methyl-1-oxo-2-propenyl)oxy]","Antistatic/film forming/hair
fixing",,
10456,,,,,"ethyl]-, polymer with 2-(dimethylamino)ethyl 2-methyl-2-",,,
10457,,,,,"propenoate, compound with dimethyl sulfate",,,
10458,POLYQUATERNIUM-46,,,174761-16-1,"1H-Imidazolium, 1-ethenyl-3-methyl-, methyl sulfate, poly-","Antistatic/film forming/hair
fixing",,
10459,,,,,mer with 1-ethenylhexahydro-2H-azepin-2-one and 1-,,,
10460,,,,,ethenyl-2-pyrrolidone,,,
10461,POLYQUATERNIUM-47,,,197969-51-0,"1-Propanaminium, N,N,N-trimethyl-3-[(2-methyl-1-oxo-2-","Film forming/hair
fixing/skin con-",,
10462,,,,,"propenyl)amino]-, chloride, polymer with methyl 2-pro-",ditioning,,
10463,,,,,penoate and 2-propenoic acid,,,
10464,POLYSILICONE-1,,,,,Humectant,,
10465,POLYSILICONE-2,,,,,Humectant,,
10466,POLYSILICONE-3,,,,,Emollient,,
10467,POLYSILICONE-4,,,,,Emollient,,
10468,POLYSILICONE-5,,,,,Emollient,,
10469,POLYSILICONE-6,,,146632-09-9,,Film forming,,
10470,POLYSILICONE-7,,,146632-08-8,,Antifoaming/antistatic,,
10471,POLYSILICONE-8,,,,"3-Thiopropyl methyl siloxane, polymer with dimethylsilox-",Antifoaming/hair conditioning,,
10472,,,,,"ane, S-ester with polymer of 2-propenoic acid and methyl 2-",,,
10473,,,,,methyl-2-propenoate,,,
10474,POLYSILICONE-9,,,165445-18-1,"Silicones and siloxanes, 3-aminopropyl methyl, dimethyl,","Hair
fixing",,
10475,,,,,"reaction products with 2-ethyl-4,5-dihydrooxazole homo-",,,
10476,POLYSILICONE-10,,,,"Antifoaming/hair conditioning
Polydimethylsiloxane, methyltrimethylsilyloxy-3-hydroxy-",,,
10477,,,,,"propoxysilyl
terminated, ethoxylated, diester with perfluor-",,,
10478,,,,,oalkyl hydrogen dilinoleate,,,
10479,POLYSILICONE-11,,,226992-90-1,"Film forming
Cyclosiloxanes, dimethyl, polymers with dimethyl, methyl",,,
10480,,,,,hydrogen siloxanes and vinyl-group terminated dimethylsi-,,,
10481,,,,,loxanes,,,
10482,POLYSORBATE 20,polysorbate 20,polysorbatum 20,9005-64-5,"Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs
Emulsifying/surfactant",,,
10483,POLYSORBATE 21,,,9005-64-5,"Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs
Emulsifying",,,
10484,POLYSORBATE 40,polysorbate 40,,9005-66-7,"Sorbitan, monohexadecanoate, poly(oxy-1,2-ethanediyl)
Emulsifying/surfactant",,,
10485,,,,,derivs,,,
10486,POLYSORBATE 60,polysorbate 60,polysorbatum 60,9005-67-8,"Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl)
Emulsifying/surfactant",,,
10487,,,,,derivs,,,
10488,POLYSORBATE 61,,,9005-67-8,"Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl)
Emulsifying",,,
10489,,,,,derivs,,,
10490,POLYSORBATE 65,polysorbate 65,,9005-71-4,"Sorbitan,
trioctadecanoate, poly(oxy-1,2-ethanediyl) derivs
Emulsifying/surfactant",,,
10491,POLYSORBATE 80,polysorbate 80,polysorbatum 80,9005-65-6,"Sorbitan, mono-9-octadecenoate, poly(oxy-1,2-ethanediyl)
Emulsifying/surfactant",,,
10492,,,,,"derivs.,
(Z)-",,,
10493,POLYSORBATE 80 ACET-,,,89964-07-8,Emulsifying,,,
10494,ATE,,,,,,,
10495,POLYSORBATE 81,,,9005-65-6,"Sorbitan, mono-9-octadecenoate, poly(oxy-1,2-ethanediyl)
Emulsifying",,,
10496,,,,,"derivs.,
(Z)-",,,
10497,POLYSORBATE 85,polysorbate 85,,9005-70-3,"Sorbitan,
tri-9-octadecenoate, poly(oxy-1,2-ethanediyl)
Emulsifying/surfactant",,,
10498,,,,,"derivs.,
(Z, Z,Z)-",,,
10499,POLYSTYRENE,,,9003-53-6,"Benzene, ethenyl-, homopolymer
Film forming",,,
10500,POLYTETRAFLUOROE-,,,123171-68-6,"Hair conditioning
Poly(difluoromethylene),
.alpha.-[2-(acetyloxy)-3-[(carboxy-",,,
10501,THYLENE ACETOXYPRO-,,,,"methyl)dimethylammonio]propyl]-.omega.-fluoro-,
inner",,,
10502,PYL BETAINE,,,,salt,,,
10503,POLYVINYL ACETATE,,,9003-20-7,"Acetic acid ethenyl ester, homopolymer",Antistatic/binding/emulsion stabi-,,
10504,,,,,,lising/film forming,,
10505,POLYVINYL ALCOHOL,polyvinyl alcohol,,9002-89-5,"Ethenol, homopolymer",Film forming/viscosity controlling,,
10506,POLYVINYL BUTYRAL,,,63148-65-2,"Vinyl acetal polymers, butyrals",Antistatic/binding/film forming/,,
10507,,,,,,viscosity controlling,,
10508,POLYVINYL CHLORIDE,,,,"Ethenyl chloride, homopolymer",Film forming,,
10509,POLYVINYL IMIDAZOLI-,,,,,Antistatic/film forming,,
10510,NIUM ACETATE,,,,,,,
10511,POLYVINYL LAURATE,,,,,Binding/film forming/viscosity,,
10512,,,,,,controlling,,
10513,POLYVINYL METHYL,,,2594563,"Ethene, methoxy-, homopolymer",Antistatic/binding/film forming,,
10514,ETHER,,,,,,,
10515,POLYVINYLCAPROLAC-,,,25189-83-7,"2H-Azepin-2-one, 1-ethenylhexahydro-, homopolymer","Film forming/hair
fixing",,
10516,TAM,,,,,,,
10517,POLYVINYLFORMAMIDE,,,,"Formic acid, ethenyl amide, homopolymer","Hair
fixing",,
10518,PONCEAU SX,,,"4548-53-2
224-909-9","Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-",Hair dyeing,,
10519,,,,,hydroxynaphthalene-1-sulphonate (14700),,,
10520,PONGAMOL,,,,,Masking,,
10521,POPULUS NIGRA,,,"84650-39-5
283-509-2","Populus Nigra Extract
is an extract of
the leaves,
twigs and",Antiseborrhoeic/soothing,,
10522,EXTRACT,,,,"buds of
the black poplar, Populus nigra, Salicaceae",,,
10523,POPULUS TREMULOIDES,,,"90083-05-9
290-199-2","Populus Tremuloides Extract
is an extract of
the sprout of",Skin conditioning/antiseborrhoeic,,
10524,EXTRACT,,,,"the aspen, Populus tremuloides, Salicaceae",,,
10525,PORIA COCOS EXTRACT,,,168456-53-9,"Poria Cocos Extract
is an extract of
the mushroom Poria",Skin protecting,,
10526,,,,,"cocos, Polyporaceae",,,
10527,PORPHYRA UMBILICALIS,,,223751-76-6,"Porphyra Umbilicalis Extract
is an extract of
the algae,",Skin protecting,,
10528,EXTRACT,,,,"Porphyra umbilicalis, Rhodophyaceae",,,
10529,PORPHYRIDIUM CRUEN-,,,223751-77-7,"Porphyridium Cruentum Extract
is an extract of Porphyr-",Skin protecting,,
10530,TUM EXTRACT,,,,"idium cruentum, Algae",,,
10531,PORPHYRIDIUM/ZINC,,,,,"Porphyridium/Zinc Ferment
is an extract of
the fermenta-",Skin protecting,
10532,FERMENT,,,,,tion product of porphyridium in the presence of zinc ions,,
10533,POTASSIUM ABIETOYL,,,,,,Surfactant,
10534,HYDROLYZED COLLAGEN,,,,,,,
10535,POTASSIUM ACESULFAME,,,55589-62-3,259-715-3,"6-methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide, potas-",Oral care/masking,
10536,,,,,,sium salt,,
10537,POTASSIUM ACETATE,potassium acetate,kalii acetas,127-08-2,204-822-2,Potassium acetate,Film forming,
10538,POTASSIUM ALGINATE,,,9005-36-1,,"Alginic acid, potassium salt",Binding/emulsion stabilising/visc-,
10539,,,,,,,osity controlling,
10540,POTASSIUM ALUM,"alum, potassium",alumen,10043-67-1/,233-141-3,Aluminium potassium bis(sulphate),Antiperspirant/deodorant,
10541,,,,7784-24-9,,,,
10542,POTASSIUM ALUMINUM,,,67785-56-2,,"2-propenoic acid, homopolymer, aluminum potassium salt",Absorbent/viscosity controlling,
10543,POLYACRYLATE,,,,,,,
10544,POTASSIUM ASCORBYL,,,,,"2H-1-benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-",Skin protecting,
10545,TOCOPHERYL PHOS-,,,,,"(4,8,12-trimethyltridecyl)-, monoester with ascorbyl mono-",,
10546,PHATE,,,,,"phosphate, dipotassium salt",,
10547,POTASSIUM ASPARTATE,,,1115-63-5,214-226-4,Potassium hydrogen aspartate,Skin conditioning,
10548,POTASSIUM BABASSUATE,,,226993-76-6,,"Fatty acids, babassu oil, potassium salts",Cleansing/emulsifying,
10549,POTASSIUM BENZOATE,,,582-25-2,209-481-3,"Potassium benzoate
VI/1,1",Preservative,
10550,POTASSIUM BICARBO-,potassium bicarbo-,kalii hydrogenocarbo-,298-14-6,206-059-0,Potassium hydrogencarbonate,Buffering,
10551,NATE,nate,nas,,,,,
10552,POTASSIUM BIPHTHA-,,,877-24-7,212-889-4,Potassium hydrogen phthalate,Buffering,
10553,LATE,,,,,,,
10554,POTASSIUM BORATE,,,1332-77-0,215-575-5,"Dipotassium tetraborate
III/1,1a/III/1,1b",Buffering,
10555,POTASSIUM BROMATE,,,2139594,231-829-8,Potassium bromate,Oxidising,
10556,POTASSIUM BUTYLPARA-,,,38566-94-8,254-009-1,"Potassium butyl 4-oxidobenzoate
VI/1,12",Preservative,
10557,BEN,,,,,,,
10558,POTASSIUM C9-15 ALKYL,,,,,,"Phosphoric acid, C9-C15-alkyl esters, potassium salts",Surfactant
10559,PHOSPHATE,,,,,,,
10560,POTASSIUM CARBOMER,,,,,,"Carbomer, potassium salts",Emulsion stabilising/film forming/
10561,,,,,,,,viscosity controlling
10562,POTASSIUM CARBONATE,potassium carbonate,,,584-08-7,209-529-3,Potassium carbonate,Buffering
10563,POTASSIUM CAROATE,,,,10058-23-8,233-187-4,Potassium hydrogenperoxomonosulphate,Oxidising
10564,POTASSIUM CARRAGEE-,,,,64366-24-1,,"Carrageenan, potassium salt",Binding/emulsion stabilising/film
10565,NAN,,,,,,,forming/viscosity controlling
10566,POTASSIUM CASEINATE,,,,68131-54-4,,"Caseins, potassium complexes",Antistatic
10567,POTASSIUM CASTORATE,,,,2232855,232-388-4,"Fatty acids, castor-oil, potassium salts",Surfactant
10568,POTASSIUM CETYL PHOS-,,,,84861-79-0,284-374-2,"1-Hexadecanol, phosphate, potassium salt",Surfactant
10569,PHATE,,,,,,,
10570,POTASSIUM CHLORATE,,,,698078,223-289-7,"Potassium chlorate
III/1,6",Oxidising
10571,POTASSIUM CHLORIDE,potassium chloride,kalii,chloridum,7447-40-7,231-211-8,Potassium chloride,Viscosity controlling
10572,POTASSIUM CITRATE,,kalii,citras,866-84-2,212-755-5,Tripotassium citrate,Buffering/chelating
10573,POTASSIUM COCOATE,,,,61789-30-8,263-049-9,"Fatty acids, coco, potassium salts",Emulsifying/surfactant
10574,POTASSIUM COCOYL,,,,,,"Glutamic acid, N-coco acyl derivs., monopotassium salts",Surfactant
10575,GLUTAMATE,,,,,,,
10576,POTASSIUM COCOYL,,,,,,"Protein hydrolyzates, casein, coco acyl derivs., potassium",Antistatic
10577,HYDROLYZED CASEIN,,,,,,salts,
10578,POTASSIUM COCOYL,,,,68920-65-0,,"Acid chlorides, coco,
reaction products with protein",Antistatic/surfactant
10579,HYDROLYZED COLLAGEN,,,,,,"hydrolyzates, potassium salts",
10580,POTASSIUM COCOYL,,,,222400/38/6,,"Protein hydrolyzates, corn, coco acyl derivatives, potassium",Hair conditioning/skin condition-
10581,HYDROLYZED CORN,,,,,,salts,ing/cleansing
10582,PROTEIN,,,,,,,
10583,POTASSIUM COCOYL,,,,,,,Antistatic
10584,HYDROLYZED KERATIN,,,,,,,
10585,POTASSIUM COCOYL,,,,"Protein hydrolyzates, potato, coco acyl derivatives, potas-",Hair conditioning/skin condition-,,
10586,HYDROLYZED POTATO,,,,sium salts,ing/cleansing,,
10587,PROTEIN,,,,,,,
10588,POTASSIUM COCOYL,,,,,Antistatic,,
10589,HYDROLYZED RICE BRAN,,,,,,,
10590,PROTEIN,,,,,,,
10591,POTASSIUM COCOYL,,,,,Antistatic,,
10592,HYDROLYZED RICE PRO-,,,,,,,
10593,TEIN,,,,,,,
10594,POTASSIUM COCOYL,,,,"Protein hydrolyzates, silk, coco acyl derivs., potassium salts",Antistatic,,
10595,HYDROLYZED SILK,,,,,,,
10596,POTASSIUM COCOYL,,,,,Antistatic,,
10597,HYDROLYZED SOY PRO-,,,,,,,
10598,TEIN,,,,,,,
10599,POTASSIUM COCOYL,,,,,Antistatic,,
10600,HYDROLYZED WHEAT,,,,,,,
10601,PROTEIN,,,,,,,
10602,POTASSIUM CORNATE,,,"61789-23-9
263-044-1","Fatty acids, corn-oil, potassium salts",Emulsifying/surfactant,,
10603,POTASSIUM CUMENESUL-,,,,Potassium 4-(2-propyl)benzene sulfonate,Surfactant/hydrotrope,,
10604,FONATE,,,,,,,
10605,POTASSIUM CYANATE,,,"590-28-3
209-676-3",Potassium cyanate,Skin conditioning/hair condition-,,
10606,,,,,,ing/emollient,,
10607,POTASSIUM CYCLOCAR-,,,"68227-50-9
269-362-7",Potassium 5-carboxy-4-hexylcyclohex-2-ene-1-octanoate,Surfactant,,
10608,BOXYPROPYLOLEATE,,,,,,,
10609,POTASSIUM DECETH-4,,,,"Decanol, ethoxylated, phosphates, potassium salts (4 mol",Emulsifying,,
10610,PHOSPHATE,,,,"EO average molar
ratio)",,,
10611,POTASSIUM DIHYDROX-,,,,"Phosphoric acid, monoesters with coco-alkylbis(2-hydro-",Surfactant,,
10612,YETHYL COCAMINE,,,,"xyethyl)amine N-oxides, dipotassium salts",,,
10613,OXIDE PHOSPHATE,,,,,,,
10614,POTASSIUM DIMETHI-,,,,,Humectant,,
10615,CONE COPOLYOL,,,,,,,
10616,PANTHENYL PHOSPHATE,,,,,,,
10617,POTASSIUM DIMETHI-,,,,,,,Humectant
10618,CONE COPOLYOL PHOS-,,,,,,,
10619,PHATE,,,,,,,
10620,POTASSIUM DNA,,,,,,,Skin conditioning
10621,POTASSIUM DODECYL-,,,,27177-77-1,248-296-2,Potassium dodecylbenzenesulphonate,Surfactant
10622,BENZENESULFONATE,,,,,,,
10623,POTASSIUM EDTMP,,,,34274-30-1,251-910-1,"{Ethylenebis[nitrilobis(methylene)]}tetrakisphosphonic acid,",Chelating
10624,,,,,,,potassium salt,
10625,POTASSIUM ETHYLPARA-,,,,36457-19-9,253-048-1,"Potassium ethyl 4-oxidobenzoate
VI/1,12",Preservative
10626,BEN,,,,,,,
10627,POTASSIUM FLUORIDE,,,,7789-23-3,232-151-5,"Potassium fluoride
III/1,32",Oral care/antiplaque
10628,POTASSIUM FLUOROSILI-,,,,16871-90-2,240-896-2,"Dipotassium hexafluorosilicate
III/1,41",Oral care/antiplaque
10629,CATE,,,,,,,
10630,POTASSIUM GLUCOHEP-,,,,,,Potassium glucoheptonate,Skin conditioning
10631,TONATE,,,,,,,
10632,POTASSIUM GLYCERO-,,,,1319-69-3,,Potassium glycero-1-phosphate,"Oral care, antiplaque"
10633,PHOSPHATE,,,,,,,
10634,POTASSIUM GLYCOL SUL-,,,,,,"Sulfuric acid, mono(hydroxyethyl) ester, potassium salt",Viscosity controlling
10635,FATE,,,,,,,
10636,POTASSIUM GLYCYRRHI-,,,,,,".alpha.-D-Glucopyranosiduronic acid,
(3-.beta.-,20-.beta.)-",Skin conditioning
10637,ZINATE,,,,,,20-carboxy-11-oxo-30-norolean-12-en-3-yl-2-O-.beta.-D-,
10638,,,,,,,"glucopyranuronosyl-, potassium salt",
10639,POTASSIUM HYALURO-,,,,31799-91-4,,"Hyaluronic acid, potassium salt",Film forming
10640,NATE,,,,,,,
10641,POTASSIUM HYDROXIDE,potassium hydroxide,,kalii hydroxidum,1310-58-3,215-181-3,"Potassium hydroxide
III/1,15a",Buffering
10642,POTASSIUM HYDROXYCI-,,,,232281-44-6,,"1,2-Dihydroxypropane-1,2,3-tricarboxylic acid, tripotassium",Skin conditioning
10643,TRATE,,,,,,salt,
10644,POTASSIUM IODIDE,potassium iodide,kalii,iodidum,7681-11-0,231-659-4,Potassium iodide,Antimicrobial
10645,POTASSIUM LACTATE,,,,996-31-6,213-631-3,Potassium lactate,Antimicrobial
10646,POTASSIUM LAURATE,,,10124-65-9,233-344-7,Potassium laurate,,
10647,POTASSIUM LAUROYL,,,,,,,
10648,COLLAGEN AMINO ACIDS,,,,,,,
10649,POTASSIUM LAUROYL,,,,,,"L-Glutamic acid, N-(1-oxododecyl)-, monopotassium salt",
10650,GLUTAMATE,,,,,,,
10651,POTASSIUM LAUROYL,,,,,,,
10652,HYDROLYZED COLLAGEN,,,,,,,
10653,POTASSIUM LAUROYL,,,,,,,
10654,HYDROLYZED SOY PRO-,,,,,,,
10655,TEIN,,,,,,,
10656,POTASSIUM LAUROYL,,,,,,"Amino acids, wheat, 1-oxododecyl derivs., potassium salts",
10657,WHEAT AMINO ACIDS,,,,,,,
10658,POTASSIUM LAURYL,,,,,,"Propanesulfonic acid, 2-hydroxy-3-dodecyloxy-, monopo-",
10659,HYDROXYPROPYL SULFO-,,,,,tassium salt,,
10660,NATE,,,,,,,
10661,POTASSIUM LAURYL SUL-,,,4706-78-9,225-190-4,Potassium dodecyl sulphate,,
10662,FATE,,,,,,,
10663,POTASSIUM LINOLEATE,,,,,,"9,12-Octadecadienoic acid (Z, Z)-, potassium salt",
10664,,,,,,,,
10665,POTASSIUM METABISUL-,potassium metabi-,,16731-55-8,240-795-3,Dipotassium disulphite,,"VI/1,9"
10666,FITE,sulfite,,,,,,
10667,POTASSIUM METHOXY-,,,86636-96-6,,,"2-propenoic acid, 3-(4-methoxyphenyl)-, potassium salt",
10668,CINNAMATE,,,,,,,
10669,POTASSIUM METHYL,,,,,,"Ethanesulfonic acid, 2-methylamino-, N-coco acyl derivs.,",
10670,COCOYL TAURATE,,,,,potassium salts,,
10671,POTASSIUM METHYLPAR-,,,26112-07-2,247-464-2,Potassium methyl 4-oxidobenzoate,,"VI/1,12"
10672,ABEN,,,,,,,
10673,POTASSIUM MONO-,,,20859-37-4,237-957-0,Dipotassium fluorophosphate,,"III/1,28"
10674,FLUOROPHOSPHATE,,,,,,,
10675,POTASSIUM MYRISTATE,,,13429-27-1,236-550-5,Potassium myristate,,
10676,POTASSIUM MYRISTOYL,,,,,"L-Glutamic acid, N-(1-oxotetradecyl)-, monopotassium salt",,Hair conditioning/cleansing
10677,GLUTAMATE,,,,,,,
10678,POTASSIUM MYRISTOYL,,,,,,,Antistatic/surfactant
10679,HYDROLYZED COLLAGEN,,,,,,,
10680,POTASSIUM NITRATE,,,7757-79-1,231-818-8,Potassium nitrate,,"Oral care, soothing"
10681,POTASSIUM OCTOXY-,,,68891-73-6,,,,Emulsifying/surfactant
10682,NOL-12 PHOSPHATE,,,,,,,
10683,POTASSIUM OLEATE,,,143-18-0,205-590-5,Potassium oleate,,Emulsifying/surfactant
10684,POTASSIUM OLEOYL,,,,,,,Antistatic/surfactant
10685,HYDROLYZED COLLAGEN,,,,,,,
10686,POTASSIUM OLIVATE,,,68154-77-8,268-921-2,"Fatty acids, olive-oil, potassium salts",,Surfactant/emulsifying
10687,POTASSIUM O-PHENYL-,,,13707-65-8,237-243-9,Potassium 2-biphenylate,"VI/1,7",Preservative
10688,PHENATE,,,,,,,
10689,POTASSIUM PALM KER-,,,,,"Fatty acids, palm kernel oil, potassium salts",,Cleansing/viscosity controlling
10690,NELATE,,,,,,,
10691,POTASSIUM PALMITATE,,,2624-31-9,220-088-6,Potassium palmitate,,Emulsifying/surfactant
10692,POTASSIUM PALMITOYL,,,222400-39-7,,"Protein hydrolyzates, wheat, palmitoyl derivatives, potas-",,Hair conditioning/skin condition-
10693,HYDROLYZED WHEAT,,,,,sium salts,,ing/cleansing
10694,PROTEIN,,,,,,,
10695,POTASSIUM PARABEN,,,16782-08-4,240-830-2,Potassium 4-hydroxybenzoate,"VI/1,12",Preservative
10696,POTASSIUM PCA,,,4810-50-8,225-373-9,Potassium 5-oxo-L-prolinate,,Humectant
10697,POTASSIUM PEANUTATE,,,61789-56-8,263-069-8,"Fatty acids, peanut-oil, potassium salts",,Cleansing/emulsifying
10698,POTASSIUM PERSULFATE,,,7727-21-1,231-781-8,Dipotassium peroxodisulphate,,Oxidising
10699,POTASSIUM PHENOXIDE,,,100-67-4,202-877-7,Potassium phenolate,"III/1,19",Antimicrobial
10700,POTASSIUM PHENYLBEN-,,,,,"2-Phenylbenzimidazole-5-sulfonic acid, potassium salt","VII/1,6",Uv filter/uv absorber
10701,ZIMIDAZOLE SULFONATE,,,,,,,
10702,POTASSIUM PHOSPHATE,potassium phos-,,kalii dihydrogenopho-,7778-77-0,231-913-4,Potassium dihydrogenorthophosphate,
10703,,"phate, monobasic",sphas,,,,,
10704,POTASSIUM POLYACRY-,,,,25608-12-2,,,
10705,LATE,,,,,,,
10706,POTASSIUM PROPIONATE,,,,327-62-8,206-323-5,Potassium propionate,"VI/1,2"
10707,POTASSIUM PROPYLPAR-,,,,84930-16-5,284-597-5,Potassium propyl 4-oxidobenzoate,"VI/1,12"
10708,ABEN,,,,,,,
10709,POTASSIUM RAPESEE-,,,,,,"Fatty acids,
rapeseed oil, potassium salts",
10710,DATE,,,,,,,
10711,POTASSIUM RICINOLEATE,,,,7492-30-0,231-314-8,Potassium ricinoleate,
10712,POTASSIUM SALICYLATE,,,,578-36-9,209-421-6,Potassium salicylate,"VI/1,3"
10713,POTASSIUM SILICATE,,,,1312-76-1,215-199-1,"Silicic acid, potassium salt",
10714,,,,,,,,
10715,POTASSIUM SODIUM,potassium sodium,,,304-59-6,206-156-8,Potassium sodium tartrate,
10716,TARTRATE,tartrate,,,,,,
10717,POTASSIUM SORBATE,potassium sorbate,kalii,sorbas,24634-61-5/,246-376-1,"Potassium (E, E)-hexa-2,4-dienoate","VI/1,4"
10718,,,,,590-00-1,,,
10719,POTASSIUM SOYATE,,,,,,"Fatty acids, soybean oil, potassium salts",
10720,,,,,,,,
10721,POTASSIUM STEARATE,,,,593-29-3,209-786-1,Potassium stearate,
10722,POTASSIUM STEAROYL,,,,,,,
10723,HYDROLYZED COLLAGEN,,,,,,,
10724,POTASSIUM SULFATE,,kalii,sulfuricum,7778-80-5,231-915-5,Potassium sulphate,
10725,POTASSIUM SULFIDE,,,,1312-73-8,215-197-0,Dipotassium sulphide,"III/1,23"
10726,POTASSIUM SULFITE,,,,10117-38-1,233-321-1,Potassium sulphite,"VI/1,9"
10727,POTASSIUM TALLATE,,,,61790-44-1,263-136-1,"Fatty acids,
tall-oil, potassium salts",
10728,POTASSIUM TALLOWATE,,,61790-32-7,263-124-6,"Fatty acids,
tallow, potassium salts",Emulsifying/surfactant,
10729,POTASSIUM THIOCYA-,,,333-20-0,206-370-1,Potassium thiocyanate,Stabilising,
10730,NATE,,,,,,,
10731,POTASSIUM THIOGLYCO-,,,34452-51-2,252-038-4,Potassium mercaptoacetate,"III/1,2a
Depilatory/reducing/hair waving or",
10732,LATE,,,,,,straightening,
10733,POTASSIUM TOLUENE-,,,16106-44-8,240-273-5,Potassium toluene-4-sulphonate,Surfactant/hydrotrope,
10734,SULFONATE,,,,,,,
10735,POTASSIUM TRISPHO-,,,221249-87-2,,"Nitrilotris(methanephosphonic acid) N-oxide,
tripotassium",Chelating,
10736,SPHONOMETHYLAMINE,,,,,salt,,
10737,OXIDE,,,,,,,
10738,POTASSIUM TROCLOSENE,troclosene potas-,,2244-21-5,218-828-8,"1,3-Dichloro-1,3,5-triazine-2,4,6(1H,3H,5H)-trione, potas-",Antimicrobial/oxidising,
10739,,sium,,,,sium salt,,
10740,POTASSIUM UNDECYLE-,,,,,"Undecylenic acid, potassium salt","VI/1,18
Cleansing/emulsifying/preservative",
10741,NATE,,,,,,,
10742,POTASSIUM UNDECYLE-,,,224580-88-5,,"Alginic acid, reaction products with 10-undecenoyl chloride,",Emulsion stabilising/hair condi-,
10743,NOYL ALGINATE,,,,,potassium salts,tioning/skin conditioning,
10744,POTASSIUM UNDECYLE-,,,224580-89-6,,"Carrageenan, reaction products with 10-undecenoyl chlor-",Emulsion stabilising/hair condi-,
10745,NOYL CARRAGEENAN,,,,,"ide, potassium salts",tioning/skin conditioning,
10746,POTASSIUM UNDECYLE-,,,68951-92-8,,"Proteins, hydrolyzates, reaction products with 10-undece-",Antidandruff/antistatic/surfactant/,
10747,NOYL HYDROLYZED,,,,,"noyl chloride, potassium salts",hair conditioning/skin conditioning,
10748,COLLAGEN,,,,,,,
10749,POTASSIUM UNDECYLE-,,,222400-40-0,,"Protein hydrolyzates, corn,
reaction products with 10-",Emulsion stabilising/hair condi-,
10750,NOYL HYDROLYZED,,,,,"undecenoyl chloride, potassium salts",tioning/skin conditioning,
10751,CORN PROTEIN,,,,,,,
10752,POTASSIUM UNDECYLE-,,,222400-41-1,,"Protein hydrolyzates, soya, reaction products with 10-",Emulsion stabilising/hair condi-,
10753,NOYL HYDROLYZED SOY,,,,,"undecenoyl chloride, potassium salts",tioning/skin conditioning,
10754,PROTEIN,,,,,,,
10755,POTASSIUM UNDECYLE-,,,222400-42-2,,"Protein hydrolyzates, wheat,
reaction products with 10-",Emulsion stabilising/hair condi-,
10756,NOYL HYDROLYZED,,,,,"undecenoyl chloride, potassium salts",tioning/skin conditioning,
10757,WHEAT PROTEIN,,,,,,,
10758,POTASSIUM XYLENE SUL-,,,"30346-73-7
250-140-3",Potassium xylenesulphonate,Surfactant/hydrotrope,,
10759,FONATE,,,,,,,
10760,POTASSIUM YEAST DERI-,,,,,Skin conditioning/tonic,,
10761,VATIVE,,,,,,,
10762,POTATO STARCH MODI-,,,,"Potato starch, reaction products with haloethylaminodipro-",Viscosity controlling,,
10763,FIED,,,,"pionic acid, degree of substitution per glucose less than 0,1",,,
